# Derived from Ho et al. arXiv:2606.02399v1, Fig. 1(e) vector source.
# Source figure SHA256: ba18ac4c15f68f024d5edad3915d1d4ff40d0ea95b9f9adc50516613b92e4382
# Regenerate with: python extract_ho_fig1e.py theory1ev_V4.pdf --output data/ho_fig1e_absorption.csv
pressure_GPa,energy_eV,absorption_au
0,1.40000203,0.00007726
0,1.90873367,0.01123183
0,1.92654552,0.02841439
0,1.93279542,0.05358044
0,1.93592016,0.08595923
0,1.93810768,0.13401431
0,1.93998253,0.22162276
0,1.94154510,0.38835847
0,1.94279500,0.70993542
0,1.94373243,1.28937701
0,1.94466985,2.77369677
0,1.94591995,6.36397159
0,1.94623242,5.88541734
0,1.94810727,1.30352209
0,1.94966984,0.53817148
0,1.95154469,0.28845916
0,1.95341954,0.21277456
0,1.95529459,0.19048891
0,1.95841953,0.18617859
0,1.96154428,0.20153778
0,1.97091892,0.30666791
0,1.98060603,0.48271281
0,1.98935572,0.72522414
0,1.99873056,1.12111008
0,2.00404282,1.35534724
0,2.00779272,1.48775601
0,2.01122994,1.54293722
0,2.01341746,1.55354565
0,2.01654241,1.56052497
0,2.01966715,1.58072152
0,2.02154220,1.55775908
0,2.02654199,1.45094504
0,2.03404179,1.25435419
0,2.03716653,1.22186970
0,2.04029148,1.21593273
0,2.04341642,1.23433087
0,2.04685364,1.28050533
0,2.05247859,1.39483307
0,2.06122828,1.61705829
0,2.07029044,1.83413932
0,2.07497776,1.90779501
0,2.07841518,1.97049726
0,2.08372745,2.09678114
0,2.08497734,2.07762253
0,2.08872724,2.00531748
0,2.09091456,2.00366735
0,2.09466446,2.02821093
0,2.09903930,2.06524944
0,2.10685157,2.06705520
0,2.10872641,2.09225648
0,2.11028899,2.14828625
0,2.11216383,2.21669057
0,2.11278878,2.20058706
0,2.11653868,2.02824176
0,2.11810125,2.03112803
0,2.13966280,2.18533063
0,2.15278733,2.28883119
0,2.16309959,2.34733909
0,2.17091166,2.36892006
0,2.17778650,2.36934140
0,2.18747361,2.34566987
0,2.20841041,2.27516911
0,2.21872247,2.27139318
0,2.23778442,2.26696101
0,2.24997133,2.23594607
0,2.26997071,2.12837597
0,2.30746926,1.91772519
0,2.32809358,1.80731139
0,2.34590543,1.68586487
0,2.38215409,1.43239569
0,2.48027551,0.82771758
0,2.51902416,0.63248471
0,2.54777302,0.51120702
0,2.58214683,0.38923052
0,2.61433311,0.29626501
0,2.65026949,0.21506772
0,2.68933041,0.14850879
0,2.73370381,0.09537557
0,2.78588947,0.05496485
0,2.85213708,0.02624455
0,2.94619633,0.00871845
0,3.12181506,0.00123558
0,3.19524959,0.00062486
20,1.39992456,0.00000000
20,2.02115206,0.01094469
20,2.03615144,0.02791878
20,2.04115123,0.05116749
20,2.04396370,0.08470755
20,2.04583875,0.13338363
20,2.04740112,0.21928469
20,2.04865102,0.36960125
20,2.04990092,0.74620673
20,2.05083854,1.51388720
20,2.05240092,4.56560241
20,2.05271339,4.22234760
20,2.05458824,0.93621465
20,2.05615081,0.38749877
20,2.05802566,0.20899336
20,2.05990071,0.15583371
20,2.06208803,0.14047159
20,2.06646287,0.14221128
20,2.06958782,0.16159451
20,2.07677514,0.22288005
20,2.07958741,0.25640248
20,2.08552462,0.33765702
20,2.08833710,0.37989993
20,2.09739926,0.58273458
20,2.10802400,0.95903616
20,2.11427369,1.16965170
20,2.11677368,1.21559420
20,2.11958596,1.23415677
20,2.12177348,1.22391682
20,2.12489822,1.20656837
20,2.12958554,1.20586368
20,2.13333544,1.15572831
20,2.13771028,1.07908799
20,2.14146018,1.01878754
20,2.14489760,0.99352166
20,2.14802254,0.99464622
20,2.15145976,1.01644446
20,2.15520966,1.06720378
20,2.16145955,1.18658175
20,2.18427120,1.64694927
20,2.19645831,1.77821733
20,2.19802068,1.76313414
20,2.20208305,1.71388256
20,2.20489532,1.71582044
20,2.20864522,1.73795047
20,2.21395748,1.78275080
20,2.21801985,1.78918104
20,2.22083232,1.82162590
20,2.22270717,1.87016986
20,2.22489469,1.94017440
20,2.22520717,1.93808384
20,2.22614459,1.90565954
20,2.22864459,1.81159148
20,2.23020696,1.81093231
20,2.23426933,1.85112429
20,2.24176912,1.91424201
