# Integrated NV- photoluminescence yield vs pressure, at constant laser
# power and camera integration time (Ho et al. 2026, Fig. 5b).
# Recovered from the vector content of the published figure, so the
# coordinates are exact to the plotting precision, not eyeballed.
# The two series are separately normalised in the source figure: only
# the SHAPE of each is meaningful, not the ratio between them.
# series,pressure_GPa,yield_au
expt532,4.70,4.1410
expt532,4.72,3.3271
expt532,5.70,3.5990
expt532,5.90,3.2907
expt532,6.90,3.4849
expt532,11.00,3.5159
expt532,15.40,3.6626
expt532,18.00,3.9328
expt532,18.02,3.9143
expt532,18.10,3.9470
expt532,19.00,4.2892
expt532,20.00,3.9262
expt532,20.70,4.0018
expt532,22.50,4.3721
expt532,23.30,5.0000
expt532,25.60,4.2040
expt532,25.80,4.0912
expt532,27.10,4.3231
expt532,27.60,3.8088
expt532,28.40,4.0105
expt532,29.10,3.7644
expt532,29.50,3.8992
expt532,32.00,3.9187
expt532,33.40,3.9258
expt532,34.40,3.8430
expt532,35.60,3.8617
expt532,36.40,3.8275
expt532,37.10,4.0298
expt532,38.60,3.5583
expt532,41.40,3.3378
expt532,46.50,2.8907
expt532,51.00,2.7827
expt457,51.03,3.0717
expt457,52.00,2.8283
expt457,55.00,3.2584
expt457,55.20,3.4983
expt457,55.70,3.3978
expt457,55.90,2.6317
expt457,56.00,3.6552
expt457,57.00,3.7006
expt457,73.00,3.0072
expt457,74.50,3.5624
expt457,76.30,4.1742
expt457,79.50,4.0254
expt457,81.70,4.2119
expt457,83.10,3.9641
expt457,85.80,4.0439
expt457,88.50,3.9687
expt457,90.00,3.9111
expt457,92.30,3.8026
expt457,94.20,3.8814
expt457,96.20,3.7896
expt457,98.50,3.7618
expt457,99.10,3.6240
expt457,101.10,3.5573
expt457,103.10,3.3868
expt457,105.10,3.3657
expt457,107.70,3.3187
expt457,109.40,3.2236
expt457,111.70,3.0737
expt457,113.80,2.9768
theory532_ho,0.0,3.5518
theory532_ho,1.0,3.6365
theory532_ho,2.0,3.7212
theory532_ho,3.0,3.7989
theory532_ho,4.0,3.8710
theory532_ho,5.0,3.9419
theory532_ho,6.0,4.0014
theory532_ho,7.0,4.0609
theory532_ho,8.0,4.1123
theory532_ho,9.0,4.1592
theory532_ho,10.0,4.2036
theory532_ho,11.0,4.2380
theory532_ho,12.0,4.2723
theory532_ho,13.0,4.2972
theory532_ho,14.0,4.3190
theory532_ho,15.0,4.3371
theory532_ho,16.0,4.3467
theory532_ho,17.0,4.3564
theory532_ho,18.0,4.3564
theory532_ho,19.0,4.3547
theory532_ho,20.0,4.3484
theory532_ho,21.0,4.3355
theory532_ho,22.0,4.3225
theory532_ho,23.0,4.2986
theory532_ho,24.0,4.2743
theory532_ho,25.0,4.2442
theory532_ho,26.0,4.2086
theory532_ho,27.0,4.1723
theory532_ho,28.0,4.1253
theory532_ho,29.0,4.0784
theory532_ho,30.0,4.0255
theory532_ho,31.0,3.9690
theory532_ho,32.0,3.9116
theory532_ho,33.0,3.8497
theory532_ho,34.0,3.7878
theory532_ho,35.0,3.7222
theory532_ho,36.0,3.6552
theory532_ho,37.0,3.5868
theory532_ho,38.0,3.5146
theory532_ho,39.0,3.4424
theory532_ho,40.0,3.3660
theory532_ho,41.0,3.2887
theory532_ho,42.0,3.2094
theory532_ho,43.0,3.1269
theory532_ho,44.0,3.0444
theory532_ho,45.0,2.9572
theory532_ho,46.0,2.8696
theory532_ho,47.0,2.7795
theory532_ho,48.0,2.6867
theory532_ho,49.0,2.5938
theory532_ho,50.0,2.4975
theory532_ho,51.0,2.4012
theory532_ho,52.0,2.3070
theory532_ho,53.0,2.2143
theory532_ho,54.0,2.1222
theory532_ho,55.0,2.0339
theory532_ho,56.0,1.9457
theory532_ho,57.0,1.8605
theory532_ho,58.0,1.7767
theory532_ho,59.0,1.6939
theory532_ho,60.0,1.6146
theory532_ho,61.0,1.5352
theory532_ho,62.0,1.4594
theory532_ho,63.0,1.3845
theory532_ho,64.0,1.3111
theory532_ho,65.0,1.2407
theory532_ho,66.0,1.1703
theory532_ho,67.0,1.1038
theory532_ho,68.0,1.0378
theory532_ho,69.0,0.9738
theory532_ho,70.0,0.9124
theory532_ho,71.0,0.8510
theory532_ho,72.0,0.7948
theory532_ho,73.0,0.7387
theory532_ho,74.0,0.6855
theory532_ho,75.0,0.6349
theory532_ho,76.0,0.5848
theory532_ho,77.0,0.5397
theory532_ho,78.0,0.4946
theory532_ho,79.0,0.4530
theory532_ho,80.0,0.4134
theory532_ho,81.0,0.3748
theory532_ho,82.0,0.3407
theory532_ho,83.0,0.3066
theory532_ho,84.0,0.2765
theory532_ho,85.0,0.2479
theory532_ho,86.0,0.2209
theory532_ho,87.0,0.1978
theory532_ho,88.0,0.1747
theory532_ho,89.0,0.1561
theory532_ho,90.0,0.1384
theory532_ho,91.0,0.1218
